path,label
data\picobanana\pos\010156.jpg,1
data\picobanana\neg\010156.jpg,0
data\picobanana\pos\010791.jpg,1
data\picobanana\neg\010791.jpg,0
data\picobanana\pos\009927.jpg,1
data\picobanana\neg\009927.jpg,0
data\picobanana\pos\000192.jpg,1
data\picobanana\neg\000192.jpg,0
data\picobanana\pos\008508.jpg,1
data\picobanana\neg\008508.jpg,0
data\picobanana\pos\008436.jpg,1
data\picobanana\neg\008436.jpg,0
data\picobanana\pos\007964.jpg,1
data\picobanana\neg\007964.jpg,0
data\picobanana\pos\004151.jpg,1
data\picobanana\neg\004151.jpg,0
data\picobanana\pos\003414.jpg,1
data\picobanana\neg\003414.jpg,0
data\picobanana\pos\005494.jpg,1
data\picobanana\neg\005494.jpg,0
data\picobanana\pos\009864.jpg,1
data\picobanana\neg\009864.jpg,0
data\picobanana\pos\010892.jpg,1
data\picobanana\neg\010892.jpg,0
data\picobanana\pos\000130.jpg,1
data\picobanana\neg\000130.jpg,0
data\picobanana\pos\007411.jpg,1
data\picobanana\neg\007411.jpg,0
data\picobanana\pos\001803.jpg,1
data\picobanana\neg\001803.jpg,0
data\picobanana\pos\004011.jpg,1
data\picobanana\neg\004011.jpg,0
data\picobanana\pos\004629.jpg,1
data\picobanana\neg\004629.jpg,0
data\picobanana\pos\008814.jpg,1
data\picobanana\neg\008814.jpg,0
data\picobanana\pos\000539.jpg,1
data\picobanana\neg\000539.jpg,0
data\picobanana\pos\007475.jpg,1
data\picobanana\neg\007475.jpg,0
data\picobanana\pos\009922.jpg,1
data\picobanana\neg\009922.jpg,0
data\picobanana\pos\007369.jpg,1
data\picobanana\neg\007369.jpg,0
data\picobanana\pos\009223.jpg,1
data\picobanana\neg\009223.jpg,0
data\picobanana\pos\000552.jpg,1
data\picobanana\neg\000552.jpg,0
data\picobanana\pos\007861.jpg,1
data\picobanana\neg\007861.jpg,0
data\picobanana\pos\010311.jpg,1
data\picobanana\neg\010311.jpg,0
data\picobanana\pos\007940.jpg,1
data\picobanana\neg\007940.jpg,0
data\picobanana\pos\008404.jpg,1
data\picobanana\neg\008404.jpg,0
data\picobanana\pos\010686.jpg,1
data\picobanana\neg\010686.jpg,0
data\picobanana\pos\005307.jpg,1
data\picobanana\neg\005307.jpg,0
data\picobanana\pos\001876.jpg,1
data\picobanana\neg\001876.jpg,0
data\picobanana\pos\003033.jpg,1
data\picobanana\neg\003033.jpg,0
data\picobanana\pos\009972.jpg,1
data\picobanana\neg\009972.jpg,0
data\picobanana\pos\000453.jpg,1
data\picobanana\neg\000453.jpg,0
data\picobanana\pos\008189.jpg,1
data\picobanana\neg\008189.jpg,0
data\picobanana\pos\009467.jpg,1
data\picobanana\neg\009467.jpg,0
data\picobanana\pos\005350.jpg,1
data\picobanana\neg\005350.jpg,0
data\picobanana\pos\003796.jpg,1
data\picobanana\neg\003796.jpg,0
data\picobanana\pos\000682.jpg,1
data\picobanana\neg\000682.jpg,0
data\picobanana\pos\009738.jpg,1
data\picobanana\neg\009738.jpg,0
data\picobanana\pos\007465.jpg,1
data\picobanana\neg\007465.jpg,0
data\picobanana\pos\011047.jpg,1
data\picobanana\neg\011047.jpg,0
data\picobanana\pos\005093.jpg,1
data\picobanana\neg\005093.jpg,0
data\picobanana\pos\005456.jpg,1
data\picobanana\neg\005456.jpg,0
data\picobanana\pos\008151.jpg,1
data\picobanana\neg\008151.jpg,0
data\picobanana\pos\007178.jpg,1
data\picobanana\neg\007178.jpg,0
data\picobanana\pos\004462.jpg,1
data\picobanana\neg\004462.jpg,0
data\picobanana\pos\010207.jpg,1
data\picobanana\neg\010207.jpg,0
data\picobanana\pos\010801.jpg,1
data\picobanana\neg\010801.jpg,0
data\picobanana\pos\007469.jpg,1
data\picobanana\neg\007469.jpg,0
data\picobanana\pos\004552.jpg,1
data\picobanana\neg\004552.jpg,0
data\picobanana\pos\007984.jpg,1
data\picobanana\neg\007984.jpg,0
data\picobanana\pos\010974.jpg,1
data\picobanana\neg\010974.jpg,0
data\picobanana\pos\003766.jpg,1
data\picobanana\neg\003766.jpg,0
data\picobanana\pos\002883.jpg,1
data\picobanana\neg\002883.jpg,0
data\picobanana\pos\010089.jpg,1
data\picobanana\neg\010089.jpg,0
data\picobanana\pos\004777.jpg,1
data\picobanana\neg\004777.jpg,0
data\picobanana\pos\000731.jpg,1
data\picobanana\neg\000731.jpg,0
data\picobanana\pos\010278.jpg,1
data\picobanana\neg\010278.jpg,0
data\picobanana\pos\002905.jpg,1
data\picobanana\neg\002905.jpg,0
data\picobanana\pos\003994.jpg,1
data\picobanana\neg\003994.jpg,0
data\picobanana\pos\009349.jpg,1
data\picobanana\neg\009349.jpg,0
data\picobanana\pos\003160.jpg,1
data\picobanana\neg\003160.jpg,0
data\picobanana\pos\003232.jpg,1
data\picobanana\neg\003232.jpg,0
data\picobanana\pos\000177.jpg,1
data\picobanana\neg\000177.jpg,0
data\picobanana\pos\000347.jpg,1
data\picobanana\neg\000347.jpg,0
data\picobanana\pos\008246.jpg,1
data\picobanana\neg\008246.jpg,0
